location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,10915,7074,8403,9594,10915,12236,13426,14756,2021-05-08,day
BE,21160,12363,15409,18135,21160,24185,26912,29957,2021-05-08,day
BG,3896,0,855,2297,3896,5496,6937,8547,2021-05-08,day
CH,11472,6994,8544,9932,11472,13013,14401,15951,2021-05-08,day
CY,7483,7069,7212,7340,7483,7625,7753,7896,2021-05-08,day
CZ,6316,0,0,1410,6316,11221,15642,20579,2021-05-08,day
DE,161491,143312,149605,155239,161491,167743,173377,179670,2021-05-08,day
DK,4818,3065,3672,4215,4818,5421,5964,6571,2021-05-08,day
EE,1210,457,718,951,1210,1469,1702,1963,2021-05-08,day
ES,49131,26522,34348,41355,49131,56906,63913,71740,2021-05-08,day
FI,756,148,359,547,756,965,1154,1364,2021-05-08,day
FR,199875,147828,165845,181975,199875,217775,233905,251923,2021-05-08,day
GB,12832,0,0,5235,12832,20430,27276,34924,2021-05-08,day
GR,16891,15275,15835,16335,16891,17447,17947,18507,2021-05-08,day
HR,16796,14468,15274,15995,16796,17597,18318,19124,2021-05-08,day
HU,9866,0,2083,5772,9866,13959,17648,21769,2021-05-08,day
IE,2593,1086,1607,2074,2593,3111,3578,4100,2021-05-08,day
IS,30,9,17,23,30,37,43,51,2021-05-08,day
IT,67145,51891,57172,61899,67145,72391,77118,82398,2021-05-08,day
LI,77,63,68,72,77,83,87,92,2021-05-08,day
LT,7930,6932,7277,7587,7930,8273,8583,8928,2021-05-08,day
LU,809,301,477,634,809,984,1141,1317,2021-05-08,day
LV,3873,3396,3561,3709,3873,4037,4185,4350,2021-05-08,day
MT,68,0,0,0,68,150,225,307,2021-05-08,day
NL,49941,46171,47476,48645,49941,51238,52406,53711,2021-05-08,day
NO,2069,567,1087,1552,2069,2585,3050,3570,2021-05-08,day
PL,31825,0,7205,18875,31825,44776,56446,69481,2021-05-08,day
PT,3053,719,1527,2250,3053,3856,4580,5388,2021-05-08,day
RO,8404,5137,6268,7280,8404,9528,10541,11672,2021-05-08,day
SE,28842,23178,25139,26894,28842,30790,32545,34506,2021-05-08,day
SI,3720,2747,3084,3386,3720,4055,4357,4693,2021-05-08,day
SK,1881,184,771,1297,1881,2465,2991,3578,2021-05-08,day
