location,forecast_MIMUW-StochSEIR,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
PL,610,449,471,490,512,532,544,556,566,579,589,599,610,619,627,638,651,664,686,697,719,763,793,815,2021-07-17,day
