,country,target_date,target
164,Timor-Leste,2020-09-23,0.0
165,Burma,2020-09-23,3933.0
166,Madagascar,2020-09-23,296.0
167,Somalia,2020-09-23,75.0
168,Guatemala,2020-09-23,4518.0
169,Cyprus,2020-09-23,106.0
170,Latvia,2020-09-23,86.0
171,North Macedonia,2020-09-23,961.0
172,Chad,2020-09-23,74.0
173,Mexico,2020-09-23,29118.0
174,Libya,2020-09-23,5161.0
175,Togo,2020-09-23,93.0
176,Cambodia,2020-09-23,0.0
177,Thailand,2020-09-23,26.0
178,Serbia,2020-09-23,467.0
179,Nicaragua,2020-09-23,112.0
180,Azerbaijan,2020-09-23,866.0
181,Russia,2020-09-23,42002.0
182,US,2020-09-23,303497.0
183,Israel,2020-09-23,34225.0
184,Djibouti,2020-09-23,8.0
