,country,target_date,target
0,Saint Vincent and the Grenadines,2020-11-12,1.0
1,Angola,2020-11-12,951.0
2,Ghana,2020-11-12,1169.0
3,Eritrea,2020-11-12,9.0
4,Maldives,2020-11-12,192.0
5,India,2020-11-12,317071.0
6,Kenya,2020-11-12,7128.0
7,Bahrain,2020-11-12,1406.0
8,Algeria,2020-11-12,4939.0
9,France,2020-11-12,266293.0
10,Mozambique,2020-11-12,703.0
11,Honduras,2020-11-12,2121.0
12,"Korea, South",2020-11-12,938.0
13,Dominican Republic,2020-11-12,2812.0
14,Montenegro,2020-11-12,3976.0
15,Belgium,2020-11-12,41052.0
16,Iran,2020-11-12,71649.0
17,Ethiopia,2020-11-12,2857.0
18,Albania,2020-11-12,3490.0
19,Yemen,2020-11-12,8.0
20,Ireland,2020-11-12,2586.0
21,Morocco,2020-11-12,35870.0
22,Singapore,2020-11-12,59.0
23,Kazakhstan,2020-11-12,4303.0
24,Finland,2020-11-12,1423.0
25,Liberia,2020-11-12,28.0
26,Greece,2020-11-12,16830.0
27,Cabo Verde,2020-11-12,545.0
28,United Kingdom,2020-11-12,167246.0
29,Solomon Islands,2020-11-12,3.0
30,Australia,2020-11-12,32.0
31,New Zealand,2020-11-12,21.0
32,Jordan,2020-11-12,36222.0
33,Malawi,2020-11-12,18.0
34,Peru,2020-11-12,13284.0
35,Saint Kitts and Nevis,2020-11-12,0.0
36,Armenia,2020-11-12,13117.0
37,Turkey,2020-11-12,18074.0
38,Andorra,2020-11-12,481.0
39,Holy See,2020-11-12,0.0
40,El Salvador,2020-11-12,1248.0
41,Bahamas,2020-11-12,242.0
42,Colombia,2020-11-12,56035.0
43,Croatia,2020-11-12,16507.0
44,Chile,2020-11-12,9856.0
45,Iraq,2020-11-12,22235.0
46,Sierra Leone,2020-11-12,16.0
47,Uzbekistan,2020-11-12,1551.0
48,Switzerland,2020-11-12,47892.0
49,Qatar,2020-11-12,1513.0
50,Ukraine,2020-11-12,72125.0
51,Canada,2020-11-12,32454.0
52,Cote d'Ivoire,2020-11-12,93.0
53,Dominica,2020-11-12,11.0
54,Belarus,2020-11-12,7160.0
55,Bangladesh,2020-11-12,11192.0
56,Georgia,2020-11-12,20463.0
