,country,target_date,target
0,Saint Vincent and the Grenadines,2020-09-09,1.0
1,Angola,2020-09-09,315.0
2,Ghana,2020-09-09,655.0
3,Eritrea,2020-09-09,22.0
4,Maldives,2020-09-09,694.0
5,India,2020-09-09,612457.0
6,Kenya,2020-09-09,967.0
7,Bahrain,2020-09-09,4643.0
8,Algeria,2020-09-09,2058.0
9,France,2020-09-09,52232.0
10,Mozambique,2020-09-09,647.0
11,Honduras,2020-09-09,3071.0
12,"Korea, South",2020-09-09,1099.0
13,Dominican Republic,2020-09-09,5310.0
14,Montenegro,2020-09-09,1075.0
15,Belgium,2020-09-09,3780.0
16,Iran,2020-09-09,14673.0
17,Ethiopia,2020-09-09,7291.0
18,Albania,2020-09-09,976.0
19,Yemen,2020-09-09,23.0
20,Ireland,2020-09-09,1050.0
21,Morocco,2020-09-09,12425.0
22,Singapore,2020-09-09,306.0
23,Kazakhstan,2020-09-09,552.0
24,Finland,2020-09-09,269.0
25,Liberia,2020-09-09,8.0
26,Greece,2020-09-09,1323.0
27,Cabo Verde,2020-09-09,425.0
28,United Kingdom,2020-09-09,16684.0
29,Australia,2020-09-09,475.0
30,New Zealand,2020-09-09,33.0
31,Jordan,2020-09-09,498.0
32,Malawi,2020-09-09,74.0
33,Peru,2020-09-09,39061.0
34,Saint Kitts and Nevis,2020-09-09,0.0
35,Armenia,2020-09-09,1077.0
36,Turkey,2020-09-09,11642.0
37,Andorra,2020-09-09,102.0
38,Holy See,2020-09-09,0.0
39,El Salvador,2020-09-09,698.0
40,Bahamas,2020-09-09,384.0
41,Colombia,2020-09-09,61271.16491385223
42,Croatia,2020-09-09,1901.0
43,Chile,2020-09-09,12288.0
44,Iraq,2020-09-09,31537.0
45,Sierra Leone,2020-09-09,38.0
46,Uzbekistan,2020-09-09,2493.0
47,Switzerland,2020-09-09,2543.0
48,Qatar,2020-09-09,1640.0
49,Ukraine,2020-09-09,17678.0
50,Canada,2020-09-09,4194.0
51,Cote d'Ivoire,2020-09-09,654.0
52,Dominica,2020-09-09,2.0
53,Belarus,2020-09-09,1261.0
54,Bangladesh,2020-09-09,13550.0
55,Georgia,2020-09-09,225.0
56,Namibia,2020-09-09,1264.0
57,Taiwan*,2020-09-09,6.0
58,Oman,2020-09-09,2011.0
59,South Africa,2020-09-09,11836.0
60,Tanzania,2020-09-09,0.0
61,Mauritius,2020-09-09,5.0
62,Afghanistan,2020-09-09,301.0
63,Luxembourg,2020-09-09,278.0
64,San Marino,2020-09-09,6.0
65,Bhutan,2020-09-09,7.0
66,Kyrgyzstan,2020-09-09,577.0
67,Guinea,2020-09-09,406.0
68,Iceland,2020-09-09,32.0
69,Equatorial Guinea,2020-09-09,25.0
70,Fiji,2020-09-09,3.0
71,Antigua and Barbuda,2020-09-09,1.0
72,Sweden,2020-09-09,1348.0
73,Gabon,2020-09-09,83.0
74,China,2020-09-09,147.0
75,Malta,2020-09-09,231.0
76,Bolivia,2020-09-09,5417.0
77,Nigeria,2020-09-09,1169.0
78,Norway,2020-09-09,712.0
79,Mongolia,2020-09-09,4.0
80,Venezuela,2020-09-09,7868.0
81,Slovakia,2020-09-09,846.0
82,Mali,2020-09-09,96.0
83,Laos,2020-09-09,0.0
84,Gambia,2020-09-09,226.0
85,Uruguay,2020-09-09,115.0
86,Central African Republic,2020-09-09,24.0
87,Senegal,2020-09-09,359.0
88,Comoros,2020-09-09,29.0
89,Philippines,2020-09-09,18703.0
90,Sao Tome and Principe,2020-09-09,2.0
91,Barbados,2020-09-09,4.0
92,Belize,2020-09-09,264.0
93,Burundi,2020-09-09,18.0
94,Jamaica,2020-09-09,754.0
95,Germany,2020-09-09,9022.0
96,Paraguay,2020-09-09,5888.0
97,Brazil,2020-09-09,200024.0
98,Guinea-Bissau,2020-09-09,40.0
99,Ecuador,2020-09-09,4568.75066440145
100,Brunei,2020-09-09,1.0
101,Indonesia,2020-09-09,22696.0
102,Cuba,2020-09-09,333.0
103,Czechia,2020-09-09,5263.0
104,Niger,2020-09-09,2.0
