,country,target_date,target
0,Saint Vincent and the Grenadines,2020-10-09,0.0
1,Angola,2020-10-09,820.0
2,Ghana,2020-10-09,293.0
3,Eritrea,2020-10-09,24.0
4,Maldives,2020-10-09,410.0
5,India,2020-10-09,505879.0
6,Kenya,2020-10-09,1697.0
7,Bahrain,2020-10-09,3057.0
8,Algeria,2020-10-09,957.0
9,France,2020-10-09,103003.0
10,Mozambique,2020-10-09,763.0
11,Honduras,2020-10-09,4283.0
12,"Korea, South",2020-10-09,521.0
13,Dominican Republic,2020-10-09,4107.0
14,Montenegro,2020-10-09,1658.0
15,Belgium,2020-10-09,24747.0
16,Iran,2020-10-09,27782.0
17,Ethiopia,2020-10-09,5674.0
18,Albania,2020-10-09,1101.0
19,Yemen,2020-10-09,11.0
20,Ireland,2020-10-09,3640.0
21,Morocco,2020-10-09,17833.0
22,Singapore,2020-10-09,65.0
23,Kazakhstan,2020-10-09,557.0
24,Finland,2020-10-09,1336.0
25,Liberia,2020-10-09,14.0
26,Greece,2020-10-09,2426.0
27,Cabo Verde,2020-10-09,604.0
28,United Kingdom,2020-10-09,108621.0
29,Australia,2020-10-09,123.0
30,New Zealand,2020-10-09,21.0
31,Jordan,2020-10-09,9113.0
32,Malawi,2020-10-09,30.0
33,Peru,2020-10-09,20317.0
34,Saint Kitts and Nevis,2020-10-09,0.0
35,Armenia,2020-10-09,3705.0
36,Turkey,2020-10-09,10870.0
37,Andorra,2020-10-09,586.0
38,Holy See,2020-10-09,0.0
39,El Salvador,2020-10-09,776.0
40,Bahamas,2020-10-09,493.0
41,Colombia,2020-10-09,52768.0
42,Croatia,2020-10-09,2286.0
43,Chile,2020-10-09,11179.0
44,Iraq,2020-10-09,25521.0
45,Sierra Leone,2020-10-09,43.0
46,Uzbekistan,2020-10-09,2888.0
47,Switzerland,2020-10-09,5984.0
48,Qatar,2020-10-09,1436.0
49,Ukraine,2020-10-09,33828.0
50,Canada,2020-10-09,15571.0
51,Cote d'Ivoire,2020-10-09,243.0
52,Dominica,2020-10-09,1.0
53,Belarus,2020-10-09,3050.0
54,Bangladesh,2020-10-09,9487.0
55,Georgia,2020-10-09,3659.0
56,Namibia,2020-10-09,349.0
57,Taiwan*,2020-10-09,10.0
58,Oman,2020-10-09,5544.0
59,South Africa,2020-10-09,10519.0
60,Tanzania,2020-10-09,0.0
61,Mauritius,2020-10-09,10.0
62,Afghanistan,2020-10-09,403.0
63,Luxembourg,2020-10-09,410.0
64,San Marino,2020-10-09,9.0
65,Bhutan,2020-10-09,23.0
66,Kyrgyzstan,2020-10-09,1561.0
67,Guinea,2020-10-09,219.0
68,Iceland,2020-10-09,564.0
