,country,target_date,target
0,Saint Vincent and the Grenadines,2021-01-08,28.0
1,Angola,2021-01-08,498.0
2,Ghana,2021-01-08,531.0
3,Eritrea,2021-01-08,193.0
4,Maldives,2021-01-08,236.0
5,India,2021-01-08,126708.0
6,Kenya,2021-01-08,1340.0
7,Bahrain,2021-01-08,2117.0
8,Algeria,2021-01-08,1760.0
9,France,2021-01-08,107729.0
10,Mozambique,2021-01-08,1688.0
11,Honduras,2021-01-08,2583.0
12,"Korea, South",2021-01-08,5406.0
13,Dominican Republic,2021-01-08,6320.0
14,Montenegro,2021-01-08,3007.0
15,Belgium,2021-01-08,12414.0
16,Iran,2021-01-08,43085.0
17,Ethiopia,2021-01-08,2920.0
18,Albania,2021-01-08,4062.0
19,Yemen,2021-01-08,3.0
20,Ireland,2021-01-08,42352.0
21,Morocco,2021-01-08,9251.0
22,Singapore,2021-01-08,207.0
23,Kazakhstan,2021-01-08,5623.0
24,Vanuatu,2021-01-08,0.0
25,Finland,2021-01-08,1665.0
26,Liberia,2021-01-08,0.0
27,Greece,2021-01-08,4047.0
28,Cabo Verde,2021-01-08,365.0
29,United Kingdom,2021-01-08,416555.0
30,Solomon Islands,2021-01-08,0.0
31,Australia,2021-01-08,122.0
32,New Zealand,2021-01-08,26.0
33,Jordan,2021-01-08,9398.0
34,Malawi,2021-01-08,1241.0
35,Peru,2021-01-08,11043.0
36,Saint Kitts and Nevis,2021-01-08,2.0
37,Armenia,2021-01-08,1677.0
38,Turkey,2021-01-08,86726.0
39,Andorra,2021-01-08,372.0
40,Holy See,2021-01-08,0.0
41,El Salvador,2021-01-08,2295.0
42,Bahamas,2021-01-08,82.0
43,Colombia,2021-01-08,100688.0
44,Croatia,2021-01-08,5939.0
45,Chile,2021-01-08,20817.0
46,Iraq,2021-01-08,5231.0
47,Sierra Leone,2021-01-08,147.0
48,Uzbekistan,2021-01-08,303.0
49,Switzerland,2021-01-08,25687.0
50,Qatar,2021-01-08,1424.0
51,Ukraine,2021-01-08,42945.0
52,Canada,2021-01-08,63530.0
53,Cote d'Ivoire,2021-01-08,691.0
54,Dominica,2021-01-08,18.0
55,Belarus,2021-01-08,12378.0
56,Bangladesh,2021-01-08,6190.0
57,Georgia,2021-01-08,7618.0
58,Namibia,2021-01-08,2710.0
59,Taiwan*,2021-01-08,23.0
60,Oman,2021-01-08,1203.0
61,South Africa,2021-01-08,118683.0
62,Tanzania,2021-01-08,0.0
63,Mauritius,2021-01-08,12.0
64,Afghanistan,2021-01-08,1806.0
65,Luxembourg,2021-01-08,1329.0
66,San Marino,2021-01-08,200.0
67,Bhutan,2021-01-08,78.0
68,Kyrgyzstan,2021-01-08,835.0
69,Guinea,2021-01-08,166.0
70,Iceland,2021-01-08,113.0
71,Equatorial Guinea,2021-01-08,12.0
72,Fiji,2021-01-08,4.0
