,country,target_date,target
0,Saint Vincent and the Grenadines,2021-03-12,29.0
1,Angola,2021-03-12,239.0
2,Ghana,2021-03-12,1498.0
3,Eritrea,2021-03-12,116.0
4,Maldives,2021-03-12,817.0
5,India,2021-03-12,141683.0
6,Kenya,2021-03-12,4206.0
7,Bahrain,2021-03-12,4311.0
8,Algeria,2021-03-12,1060.0
9,France,2021-03-12,156798.0
10,Mozambique,2021-03-12,2475.0
11,Honduras,2021-03-12,4591.0
12,"Korea, South",2021-03-12,3121.0
13,Dominican Republic,2021-03-12,3365.0
14,Montenegro,2021-03-12,3976.0
15,Belgium,2021-03-12,18713.0
16,Iran,2021-03-12,58088.0
17,Ethiopia,2021-03-12,8498.0
18,Albania,2021-03-12,4822.0
19,Yemen,2021-03-12,318.0
20,Ireland,2021-03-12,3651.0
21,Morocco,2021-03-12,2614.0
22,Singapore,2021-03-12,73.0
23,Kazakhstan,2021-03-12,5562.0
24,Vanuatu,2021-03-12,2.0
25,Finland,2021-03-12,4411.0
26,Liberia,2021-03-12,7.0
27,Greece,2021-03-12,15341.0
28,Cabo Verde,2021-03-12,303.0
29,United Kingdom,2021-03-12,41610.0
30,Solomon Islands,2021-03-12,0.0
31,Australia,2021-03-12,83.0
32,New Zealand,2021-03-12,24.0
33,Jordan,2021-03-12,46922.0
34,Malawi,2021-03-12,463.0
35,Peru,2021-03-12,44724.0
36,Saint Kitts and Nevis,2021-03-12,1.0
37,Armenia,2021-03-12,3355.0
38,Turkey,2021-03-12,93470.0
39,Andorra,2021-03-12,201.0
40,Holy See,2021-03-12,0.0
41,El Salvador,2021-03-12,1147.0
42,Bahamas,2021-03-12,58.0
43,Colombia,2021-03-12,25035.0
44,Croatia,2021-03-12,4199.0
45,Chile,2021-03-12,34035.0
46,Iraq,2021-03-12,31143.0
47,Sierra Leone,2021-03-12,25.0
48,Uzbekistan,2021-03-12,311.0
49,Switzerland,2021-03-12,8355.0
50,Qatar,2021-03-12,3269.0
51,Ukraine,2021-03-12,54297.0
52,Canada,2021-03-12,22072.0
53,Cote d'Ivoire,2021-03-12,2412.0
54,Dominica,2021-03-12,12.0
55,Belarus,2021-03-12,7043.0
56,Bangladesh,2021-03-12,6038.0
57,Georgia,2021-03-12,2115.0
58,Namibia,2021-03-12,1134.0
59,Taiwan*,2021-03-12,24.0
60,Oman,2021-03-12,2361.0
61,South Africa,2021-03-12,7894.0
62,Tanzania,2021-03-12,0.0
63,Mauritius,2021-03-12,86.0
64,Afghanistan,2021-03-12,132.0
65,Luxembourg,2021-03-12,1207.0
66,San Marino,2021-03-12,200.0
67,Bhutan,2021-03-12,1.0
68,Kyrgyzstan,2021-03-12,367.0
69,Guinea,2021-03-12,1172.0
70,Iceland,2021-03-12,13.0
71,Equatorial Guinea,2021-03-12,246.0
72,Fiji,2021-03-12,3.0
73,Antigua and Barbuda,2021-03-12,132.0
74,Sweden,2021-03-12,27566.0
75,Gabon,2021-03-12,1406.0
76,China,2021-03-12,218.0
77,Malta,2021-03-12,2098.0
78,Bolivia,2021-03-12,5027.0
79,Nigeria,2021-03-12,2290.0
80,Norway,2021-03-12,4763.0
81,Mongolia,2021-03-12,672.0
82,Venezuela,2021-03-12,3430.0
83,Slovakia,2021-03-12,14290.0
84,Mali,2021-03-12,304.0
85,Laos,2021-03-12,1.0
86,Gambia,2021-03-12,180.0
87,Uruguay,2021-03-12,7145.0
88,Central African Republic,2021-03-12,5.0
89,Senegal,2021-03-12,1101.0
90,Comoros,2021-03-12,31.0
91,Philippines,2021-03-12,23914.0
92,Sao Tome and Principe,2021-03-12,134.0
93,Barbados,2021-03-12,174.0
94,Belize,2021-03-12,35.0
95,Burundi,2021-03-12,137.0
96,Jamaica,2021-03-12,4611.0
97,Germany,2021-03-12,65409.0
98,Paraguay,2021-03-12,11782.0
99,Brazil,2021-03-12,494153.0
100,Guinea-Bissau,2021-03-12,95.0
101,Ecuador,2021-03-12,8146.0
102,Brunei,2021-03-12,4.0
103,Indonesia,2021-03-12,42065.0
104,Cuba,2021-03-12,5834.0
105,Czechia,2021-03-12,77996.0
106,Niger,2021-03-12,113.0
107,Zambia,2021-03-12,2899.0
108,Spain,2021-03-12,34692.0
109,Eswatini,2021-03-12,70.0
110,Saudi Arabia,2021-03-12,2616.0
111,Cameroon,2021-03-12,4908.0
112,Bulgaria,2021-03-12,17474.0
113,Egypt,2021-03-12,4305.0
114,Guyana,2021-03-12,340.0
115,Benin,2021-03-12,430.0
116,Papua New Guinea,2021-03-12,327.0
117,Japan,2021-03-12,7755.0
118,Pakistan,2021-03-12,13808.0
119,Grenada,2021-03-12,0.0
120,Congo (Kinshasa),2021-03-12,506.0
121,Sudan,2021-03-12,394.0
122,Tunisia,2021-03-12,4261.0
123,Saint Lucia,2021-03-12,175.0
124,Lesotho,2021-03-12,5.0
125,Mauritania,2021-03-12,125.0
126,Lithuania,2021-03-12,3021.0
127,Burkina Faso,2021-03-12,182.0
128,Seychelles,2021-03-12,223.0
129,Zimbabwe,2021-03-12,175.0
130,Nepal,2021-03-12,510.0
131,Austria,2021-03-12,17728.0
132,Italy,2021-03-12,152678.0
133,Malaysia,2021-03-12,10842.0
134,Costa Rica,2021-03-12,2453.0
135,Samoa,2021-03-12,0.0
136,Netherlands,2021-03-12,35081.0
137,Congo (Brazzaville),2021-03-12,150.0
138,United Arab Emirates,2021-03-12,16969.0
139,South Sudan,2021-03-12,807.0
140,Sri Lanka,2021-03-12,2326.0
141,Poland,2021-03-12,101807.0
142,Slovenia,2021-03-12,4839.0
143,Estonia,2021-03-12,10142.0
144,Kosovo,2021-03-12,4626.0
145,Kuwait,2021-03-12,9139.0
146,Uganda,2021-03-12,92.0
147,Syria,2021-03-12,458.0
148,Romania,2021-03-12,29431.0
149,Monaco,2021-03-12,88.0
150,Moldova,2021-03-12,8924.0
151,Vietnam,2021-03-12,56.0
152,Argentina,2021-03-12,43893.0
153,Rwanda,2021-03-12,631.0
154,Suriname,2021-03-12,46.0
155,Denmark,2021-03-12,5375.0
156,Trinidad and Tobago,2021-03-12,30.0
157,Bosnia and Herzegovina,2021-03-12,6647.0
158,Panama,2021-03-12,3483.0
159,Portugal,2021-03-12,4747.0
160,Lebanon,2021-03-12,21769.0
161,Botswana,2021-03-12,2352.0
162,Haiti,2021-03-12,96.0
163,Hungary,2021-03-12,45636.0
164,West Bank and Gaza,2021-03-12,12623.0
165,Tajikistan,2021-03-12,0.0
166,Micronesia,2021-03-12,0.0
167,Liechtenstein,2021-03-12,13.0
168,Timor-Leste,2021-03-12,51.0
169,Burma,2021-03-12,122.0
170,Madagascar,2021-03-12,324.0
171,Somalia,2021-03-12,970.0
172,Guatemala,2021-03-12,4258.0
173,Cyprus,2021-03-12,2602.0
174,Latvia,2021-03-12,3492.0
175,North Macedonia,2021-03-12,4967.0
176,Chad,2021-03-12,185.0
177,Mexico,2021-03-12,38466.0
178,Marshall Islands,2021-03-12,0.0
179,Libya,2021-03-12,6161.0
180,Togo,2021-03-12,525.0
181,Cambodia,2021-03-12,311.0
182,Thailand,2021-03-12,438.0
183,Serbia,2021-03-12,29081.0
184,Nicaragua,2021-03-12,48.0
185,Azerbaijan,2021-03-12,2947.0
186,Russia,2021-03-12,68712.0
187,US,2021-03-12,381739.0
188,Israel,2021-03-12,19733.0
189,Djibouti,2021-03-12,106.0
