,country,target_date,target
0,Saint Vincent and the Grenadines,2020-05-27,0.0
1,Angola,2020-05-27,19.0
2,Ghana,2020-05-27,1034.0
3,Eritrea,2020-05-27,0.0
4,Maldives,2020-05-27,271.0
5,India,2020-05-27,46058.0
6,Kenya,2020-05-27,442.0
7,Bahrain,2020-05-27,1804.0
8,Algeria,2020-05-27,1315.0
9,France,2020-05-27,1891.8741617316555
10,Mozambique,2020-05-27,71.0
11,Honduras,2020-05-27,1685.0
12,"Korea, South",2020-05-27,222.0
13,Dominican Republic,2020-05-27,2246.0
14,Montenegro,2020-05-27,0.0
15,Belgium,2020-05-27,1609.0
16,Iran,2020-05-27,14642.0
17,Ethiopia,2020-05-27,342.0
18,Albania,2020-05-27,86.0
19,Yemen,2020-05-27,72.0
20,Ireland,2020-05-27,488.0
21,Morocco,2020-05-27,468.0
22,Singapore,2020-05-27,3512.0
23,Kazakhstan,2020-05-27,2335.0
24,Finland,2020-05-27,249.0
25,Liberia,2020-05-27,28.0
26,Greece,2020-05-27,53.0
27,Cabo Verde,2020-05-27,41.0
28,United Kingdom,2020-05-27,19000.0
29,Australia,2020-05-27,69.0
30,New Zealand,2020-05-27,1.0
31,Jordan,2020-05-27,48.0
32,Malawi,2020-05-27,30.0
33,Peru,2020-05-27,31885.0
34,Saint Kitts and Nevis,2020-05-27,0.0
35,Armenia,2020-05-27,2503.0
36,Turkey,2020-05-27,7210.0
37,Andorra,2020-05-27,1.0
38,Holy See,2020-05-27,0.0
39,El Salvador,2020-05-27,538.0
40,Bahamas,2020-05-27,3.0
41,Colombia,2020-05-27,6417.0
42,Croatia,2020-05-27,10.0
43,Chile,2020-05-27,28672.0
44,Iraq,2020-05-27,1411.0
45,Sierra Leone,2020-05-27,212.0
46,Uzbekistan,2020-05-27,430.0
47,Switzerland,2020-05-27,118.0
48,Qatar,2020-05-27,11850.0
49,Ukraine,2020-05-27,2675.0
50,Canada,2020-05-27,7414.0
51,Cote d'Ivoire,2020-05-27,325.0
52,Dominica,2020-05-27,0.0
53,Belarus,2020-05-27,6530.0
54,Bangladesh,2020-05-27,11554.0
55,Georgia,2020-05-27,22.0
56,Namibia,2020-05-27,6.0
57,Taiwan*,2020-05-27,1.0
58,Oman,2020-05-27,2330.0
